,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Var_JOAQUIN_DIAZ_MENA,Var_RENAN_BARRERA_CONCHA,Var_VIDA_ARAVARI_GOMEZ_HERRERA,Var_YAMIL_JASMIN_LOPEZ_MANRIQUE,Var_VOTOS_NULOS_CAND_NO_REGIS
0,100,500,0.00047348462014400086,0.0004608718787359996,6.793522681199996e-05,1.0193340792e-05,4.121074170799995e-05
1,100,1000,0.00023382016555700033,0.0002277431224510004,3.347524894500006e-05,5.111051257999993e-06,2.0386477210999996e-05
2,100,2000,0.00011418876347125018,0.0001109444077632501,1.6386647870749994e-05,2.469617148749997e-06,9.951287507500006e-06
3,100,5000,4.2358131428280094e-05,4.123930230915999e-05,6.065989304519997e-06,9.169733718399999e-07,3.6769511433199985e-06
4,100,10000,1.8371116831980008e-05,1.784380397596e-05,2.6289623962100003e-06,3.9651584411000043e-07,1.6050892846399992e-06
5,100,20000,6.402278361260002e-06,6.233722743877502e-06,9.066534124500003e-07,1.396476914100001e-07,5.558157060174998e-07
6,150,500,0.00047586003840000045,0.0004633339493000003,6.916550210000005e-05,1.0287215816000008e-05,4.1749116056000025e-05
7,150,1000,0.00023660211882500058,0.00023010939082900007,3.437878613799996e-05,5.055529632999998e-06,2.069292351499998e-05
8,150,2000,0.00011635852956125014,0.0001132774195205,1.6918590213499984e-05,2.5033193022500028e-06,1.0198835526999987e-05
9,150,5000,4.427512631776002e-05,4.3093524232559986e-05,6.458615139800011e-06,9.469511328400007e-07,3.867332673120001e-06
10,150,10000,2.026948429424997e-05,1.9704004448460002e-05,2.9428530711300042e-06,4.354469591799999e-07,1.7754211032399996e-06
11,150,20000,8.28927871691749e-06,8.055971642897513e-06,1.2004725532949988e-06,1.7885319962500004e-07,7.223345173850014e-07
12,200,500,0.0004760151865600003,0.0004638022969559992,7.00482682519999e-05,1.0272052812000013e-05,4.151414286799996e-05
13,200,1000,0.0002375957979670001,0.00023135322264400008,3.496663715099998e-05,5.157958353000007e-06,2.0787563167000006e-05
14,200,2000,0.0001174213244232501,0.00011412176714824987,1.7271044588750008e-05,2.5457622335000035e-06,1.020601030225001e-05
15,200,5000,4.527294844924006e-05,4.397200655128002e-05,6.622909283359999e-06,9.748370453599998e-07,3.9555961834799984e-06
16,200,10000,2.1175575755000005e-05,2.059133278873998e-05,3.1023546924699996e-06,4.586139445700005e-07,1.8544226832000006e-06
17,200,20000,9.191244315375003e-06,8.936800263397513e-06,1.3476302194175005e-06,1.9934486563999975e-07,8.030119399850001e-07
18,250,500,0.0004789306882000008,0.00046682082891200035,6.918311673199991e-05,1.0357325400000007e-05,4.1601056652000017e-05
19,250,1000,0.00023858197372100026,0.00023213865245500008,3.4548327666999973e-05,5.111067014000005e-06,2.081732649100003e-05
20,250,2000,0.00011791831685475007,0.00011487893995950016,1.7097344044749994e-05,2.551398350999997e-06,1.0239186287000004e-05
21,250,5000,4.6011629180839946e-05,4.47292776092e-05,6.629834391759999e-06,9.8089588552e-07,3.997612790119995e-06
22,250,10000,2.1845109835330005e-05,2.1268959413139978e-05,3.15564943102e-06,4.6997945997000003e-07,1.902451741440001e-06
23,250,20000,9.792379450099985e-06,9.52678452980749e-06,1.4139040120675001e-06,2.1189704560250005e-07,8.558697740475007e-07
24,300,500,0.0004781337282120009,0.0004651295180200002,6.986623498399998e-05,1.0395063019999995e-05,4.1757547740000004e-05
25,300,1000,0.00023913793173899997,0.00023284558117600004,3.489901280300003e-05,5.199022612e-06,2.081529948000001e-05
26,300,2000,0.00011896489361125003,0.00011592736976850006,1.7269419564749998e-05,2.5803599467499957e-06,1.0324938554749996e-05
27,300,5000,4.634707929011998e-05,4.5052263953120044e-05,6.754756538320005e-06,9.946565297600005e-07,4.030187649400003e-06
28,300,10000,2.217430937319002e-05,2.1585339277609995e-05,3.22948724325e-06,4.782530395000001e-07,1.9351442534900016e-06
29,300,20000,1.017625650907753e-05,9.912927673517498e-06,1.4838704491825002e-06,2.200935553900001e-07,8.858985999974999e-07
30,350,500,0.00048008755583200046,0.0004674478457560001,7.016773985999989e-05,1.0295788584000004e-05,4.1838427408e-05
31,350,1000,0.00023921883867300043,0.00023306090577300014,3.5027787308000005e-05,5.130415713000004e-06,2.0861180518999995e-05
32,350,2000,0.00011887168648825019,0.00011578574847250002,1.732321604649999e-05,2.559173552749997e-06,1.0373738103000009e-05
33,350,5000,4.661556422012001e-05,4.5361903422560084e-05,6.780552892959995e-06,1.0068163853200002e-06,4.0715522079999945e-06
34,350,10000,2.2373656116879984e-05,2.181793605037e-05,3.289237641339999e-06,4.854808118600001e-07,1.959196790929999e-06
35,350,20000,1.0450808061715002e-05,1.01938415352225e-05,1.5277284348149992e-06,2.2357349655999988e-07,9.107174408724992e-07
36,400,500,0.00048040721496000094,0.00046789360588799975,6.964054039599997e-05,1.0350076155999995e-05,4.180378593599996e-05
37,400,1000,0.0002398443032760006,0.0002331741598050001,3.474536499999999e-05,5.1572651989999985e-06,2.0879303786000015e-05
38,400,2000,0.0001192448158947501,0.00011595423394850005,1.7226415462250026e-05,2.5533588375000002e-06,1.0342059401499988e-05
39,400,5000,4.6666754243640014e-05,4.552932413859998e-05,6.789762910919991e-06,1.0023939239200002e-06,4.063097403079998e-06
40,400,10000,2.266725765401006e-05,2.202616045610996e-05,3.300521761149999e-06,4.878719948000001e-07,1.9800911763699993e-06
41,400,20000,1.0627243364307503e-05,1.0350588657425011e-05,1.5398287172850026e-06,2.298023960050002e-07,9.255371032225003e-07
