,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100,500,0.005423241536771607,0.0194948970576925,0.05575427161037517,JOAQUIN_DIAZ_MENA,0.911,0.07698366419193628,0.08191077448007231,0.08732907007823362,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.886,0.0,0.011678318638680681,0.018992958583799124,0.911,0.909,0.915,0.922,0.886
1,100,1000,0.0038383471351839285,0.015259005392819575,0.04266903084206312,JOAQUIN_DIAZ_MENA,0.896,0.055795539880010986,0.0592707905855831,0.06276555444623261,RENAN_BARRERA_CONCHA,0.888,0.05496656556575591,0.058384777639272606,0.062153944935613,0.896,0.888,0.905,0.914,0.907
2,100,2000,0.003043973641859116,0.012976154854341837,0.03522275682371392,JOAQUIN_DIAZ_MENA,0.856,0.03990517930917643,0.0422747828923809,0.04495633070907794,RENAN_BARRERA_CONCHA,0.836,0.03917126943646199,0.04167422050664846,0.044237261451108165,0.856,0.836,0.867,0.91,0.882
3,100,5000,0.002505914605876921,0.010168386086518988,0.028879290839974918,JOAQUIN_DIAZ_MENA,0.742,0.025316365367439652,0.026910171114980175,0.02861105843861166,RENAN_BARRERA_CONCHA,0.713,0.025089499276845888,0.026543834545742467,0.028113537567147365,0.742,0.713,0.773,0.889,0.784
4,100,10000,0.0022281053382184226,0.00918853874644443,0.027674753863543438,JOAQUIN_DIAZ_MENA,0.62,0.018042316879025657,0.019126574751362868,0.020265565870987174,RENAN_BARRERA_CONCHA,0.603,0.017782026402038586,0.01883234895925978,0.020068710755560108,0.62,0.603,0.64,0.853,0.698
5,100,20000,0.002017175092545174,0.00871643777914971,0.02621866778986613,JOAQUIN_DIAZ_MENA,0.485,0.012733461055607373,0.0135918096240141,0.014452350289112948,RENAN_BARRERA_CONCHA,0.46,0.012650133606308029,0.01340102396268017,0.01426292486696256,0.485,0.46,0.49,0.787,0.559
6,150,500,0.00535376489818828,0.020439244074702018,0.05649358561429877,JOAQUIN_DIAZ_MENA,0.919,0.07709205190233044,0.08194728830960801,0.08732397412076488,VIDA_ARAVARI_GOMEZ_HERRERA,0.898,0.022482550636731293,0.03068170338550904,0.03756103050677613,0.919,0.921,0.898,0.914,0.907
7,150,1000,0.003645734049738323,0.01486855480367838,0.04171741188993827,JOAQUIN_DIAZ_MENA,0.906,0.05551981988936775,0.05931271908296604,0.06260240191541808,JOAQUIN_DIAZ_MENA,0.906,0.05551981988936775,0.05931271908296604,0.06260240191541808,0.906,0.919,0.928,0.92,0.914
8,150,2000,0.002946915869134833,0.01168605166609149,0.03217728943712207,JOAQUIN_DIAZ_MENA,0.865,0.03985307630139826,0.04218550835072757,0.04497738216560422,JOAQUIN_DIAZ_MENA,0.865,0.03985307630139826,0.04218550835072757,0.04497738216560422,0.865,0.876,0.882,0.918,0.886
9,150,5000,0.0023610224781783714,0.009630377671984297,0.025810459756484314,JOAQUIN_DIAZ_MENA,0.783,0.025412969047833807,0.026967089464406402,0.028758821565605608,RENAN_BARRERA_CONCHA,0.764,0.02506454021493796,0.02655521427315899,0.028195846106946285,0.783,0.764,0.81,0.92,0.834
10,150,10000,0.0018723364698275484,0.00871338078693673,0.023040947519616464,JOAQUIN_DIAZ_MENA,0.65,0.018121321874217625,0.019143393162197375,0.02024562968203127,RENAN_BARRERA_CONCHA,0.639,0.017841875101895485,0.018866614167942386,0.019967538166256894,0.65,0.639,0.714,0.888,0.775
11,150,20000,0.0017286300354338536,0.008255495713829136,0.021204942385938997,JOAQUIN_DIAZ_MENA,0.517,0.012872037826996844,0.013593858266186976,0.01443446370451725,RENAN_BARRERA_CONCHA,0.502,0.012677269017665835,0.013418334141266475,0.014228220621169995,0.517,0.502,0.602,0.826,0.666
12,200,500,0.0049964348627114415,0.020403489657246865,0.052947394673559155,JOAQUIN_DIAZ_MENA,0.927,0.07728827643004317,0.08199627346297042,0.0874012993991811,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.894,0.0,0.010718041024116,0.018368669649605106,0.927,0.93,0.919,0.94,0.894
13,200,1000,0.00401449825710703,0.014657797324637012,0.0388623645858553,JOAQUIN_DIAZ_MENA,0.919,0.05568593353627049,0.059217381883371806,0.06307783576739294,VIDA_ARAVARI_GOMEZ_HERRERA,0.918,0.0182986253858724,0.022441277241609076,0.026342569270658693,0.919,0.919,0.918,0.918,0.92
14,200,2000,0.002666522017304557,0.011432905878622474,0.029926260571087358,JOAQUIN_DIAZ_MENA,0.9,0.03963409047631848,0.042343107660151535,0.04501828991599126,RENAN_BARRERA_CONCHA,0.895,0.039269400440780436,0.041664225891282464,0.04438639804583425,0.9,0.895,0.902,0.925,0.91
15,200,5000,0.001984392226740071,0.008517270441696171,0.02265991846775984,JOAQUIN_DIAZ_MENA,0.828,0.025398911234134902,0.02693490439424784,0.028574748214465748,RENAN_BARRERA_CONCHA,0.825,0.025061901428204778,0.026587315858368515,0.028151699356893697,0.828,0.825,0.841,0.925,0.868
16,200,10000,0.0017018314723311625,0.00716026805554848,0.019279057283594397,JOAQUIN_DIAZ_MENA,0.744,0.017998924093179512,0.019133394656382308,0.020278100624584634,RENAN_BARRERA_CONCHA,0.721,0.017831528164001076,0.01888646488324794,0.020016651583563392,0.744,0.721,0.78,0.893,0.796
17,200,20000,0.0015194192832118341,0.006371317013042388,0.017963541785333475,JOAQUIN_DIAZ_MENA,0.629,0.012903741173221022,0.013613572228773352,0.014409936545123975,RENAN_BARRERA_CONCHA,0.601,0.012693444937566321,0.013448688422007998,0.014227742251138353,0.629,0.601,0.653,0.829,0.706
18,250,500,0.005117762660472576,0.020260796466395503,0.052618767865790096,JOAQUIN_DIAZ_MENA,0.918,0.07696850811744092,0.0820870989733552,0.08737361748266627,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.907,0.0,0.010674878532023577,0.018219559723931585,0.918,0.929,0.943,0.919,0.907
19,250,1000,0.004281816430545961,0.014763573430737031,0.03901363580776142,JOAQUIN_DIAZ_MENA,0.927,0.05574137490998957,0.05929233903259298,0.06303786675414647,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.918,0.003535433483270076,0.008509468497760249,0.012241244461388901,0.927,0.932,0.926,0.93,0.918
20,250,2000,0.003059690761700503,0.011104790264569061,0.029660651297467883,JOAQUIN_DIAZ_MENA,0.904,0.03998022043007958,0.04240682915076427,0.04491296619277137,JOAQUIN_DIAZ_MENA,0.904,0.03998022043007958,0.04240682915076427,0.04491296619277137,0.904,0.915,0.906,0.92,0.918
21,250,5000,0.002097127097715655,0.008240210616952848,0.021996862408529938,JOAQUIN_DIAZ_MENA,0.846,0.02557200045429776,0.02706495912018264,0.028674315838513334,RENAN_BARRERA_CONCHA,0.842,0.025187963865041855,0.026622417325221026,0.0283267236941012,0.846,0.842,0.862,0.911,0.889
22,250,10000,0.0013700757982168046,0.007053713331950234,0.018698247949272127,JOAQUIN_DIAZ_MENA,0.762,0.018112376353479155,0.01916411555765324,0.020258058592506605,RENAN_BARRERA_CONCHA,0.756,0.017808488440277038,0.01891378512636893,0.020156769008906505,0.762,0.756,0.802,0.906,0.813
23,250,20000,0.0014131593146583742,0.006325602443620404,0.01695437580414057,JOAQUIN_DIAZ_MENA,0.644,0.012850523030412281,0.013628338327150102,0.01444995393072368,RENAN_BARRERA_CONCHA,0.619,0.012717716873834401,0.013444167068473373,0.014268218047401419,0.644,0.619,0.708,0.863,0.738
24,300,500,0.005012416356145017,0.019014623651087026,0.05148090755420648,JOAQUIN_DIAZ_MENA,0.928,0.07689428750803029,0.08210041449453065,0.08749325878609585,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.891,0.0,0.011005776256051928,0.01854067923843075,0.928,0.93,0.93,0.934,0.891
25,300,1000,0.003500525263371626,0.013813972442763278,0.038530996481922875,JOAQUIN_DIAZ_MENA,0.933,0.05632761335426315,0.05928752460894493,0.06293963194576688,VIDA_ARAVARI_GOMEZ_HERRERA,0.915,0.01842533866865968,0.022394594225945502,0.026372885639157965,0.933,0.939,0.915,0.937,0.939
26,300,2000,0.002760274912790008,0.010641236428843126,0.028276175113050903,JOAQUIN_DIAZ_MENA,0.923,0.03985567916006478,0.04241003924892589,0.04489654194890117,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.901,0.0037772145940706253,0.006106944729623191,0.008133195308291855,0.923,0.916,0.911,0.934,0.901
27,300,5000,0.0016989056407686995,0.007483756648886425,0.0212837905913929,JOAQUIN_DIAZ_MENA,0.874,0.025528240714142718,0.027037582588178455,0.028785116043731268,RENAN_BARRERA_CONCHA,0.854,0.025099447196629023,0.02666708803503015,0.028321062422162802,0.874,0.854,0.898,0.929,0.899
28,300,10000,0.0014896296590534567,0.006333175617527109,0.017739939486148444,JOAQUIN_DIAZ_MENA,0.798,0.018042842804610805,0.019150110233558282,0.020315419925356612,RENAN_BARRERA_CONCHA,0.793,0.017768469587072656,0.01889524783526464,0.02008435752885606,0.798,0.793,0.859,0.917,0.854
29,300,20000,0.0013230742550370531,0.00552841405590504,0.015784145356979785,JOAQUIN_DIAZ_MENA,0.688,0.012806061787347703,0.013622483481323194,0.014403594938337386,RENAN_BARRERA_CONCHA,0.677,0.012692418745620621,0.013442625870534602,0.014243001227125757,0.688,0.677,0.752,0.883,0.751
30,350,500,0.005029953101795259,0.018472935333049167,0.05507722886212399,JOAQUIN_DIAZ_MENA,0.931,0.07681703866797521,0.08216851195672051,0.08759068233678258,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.905,0.0,0.011496892993772934,0.017881235403475398,0.931,0.943,0.924,0.921,0.905
31,350,1000,0.003920650929680409,0.013637612107137292,0.038210062826365604,JOAQUIN_DIAZ_MENA,0.933,0.055806909177299066,0.05923646003027963,0.06280813271273926,VOTOS_NULOS_CAND_NO_REGIS,0.929,0.013475835048201115,0.017241648109939202,0.021108981919067467,0.933,0.943,0.93,0.929,0.94
32,350,2000,0.00284799552771011,0.01018007003739041,0.027136278588673714,JOAQUIN_DIAZ_MENA,0.932,0.03984109780081367,0.04232940396690957,0.04497930224856684,VIDA_ARAVARI_GOMEZ_HERRERA,0.912,0.01401815542694414,0.01610155048791722,0.018188871193553956,0.932,0.929,0.912,0.932,0.921
33,350,5000,0.0017796551943100349,0.0071738501244447694,0.019987427494448047,JOAQUIN_DIAZ_MENA,0.899,0.025286227025198088,0.027082862678211805,0.02860073773867692,RENAN_BARRERA_CONCHA,0.898,0.02507445051569734,0.02667375313462214,0.028280820218819915,0.899,0.898,0.906,0.931,0.905
34,350,10000,0.0014494538652414961,0.005875853123906205,0.017007998271399056,JOAQUIN_DIAZ_MENA,0.827,0.018050046684892664,0.019196595094149727,0.020326638234957773,RENAN_BARRERA_CONCHA,0.819,0.01775557243178402,0.018886317452309842,0.01997274952925784,0.827,0.819,0.854,0.91,0.854
35,350,20000,0.0012977493547918898,0.005191380819470015,0.015386590795248872,JOAQUIN_DIAZ_MENA,0.744,0.012779764569840979,0.013618502018028722,0.014453524353267447,RENAN_BARRERA_CONCHA,0.708,0.012685218362589738,0.013432166778540033,0.014247175382413827,0.744,0.708,0.789,0.89,0.801
36,400,500,0.004735217993336237,0.018944305907447417,0.05178289975736229,JOAQUIN_DIAZ_MENA,0.929,0.07718141009215541,0.08236983354973704,0.08764232266073904,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.915,0.0,0.010580671177312423,0.01794374409911297,0.929,0.932,0.925,0.924,0.915
37,400,1000,0.003602045696797826,0.013784953131694477,0.03900066232895048,JOAQUIN_DIAZ_MENA,0.923,0.055822444012508896,0.05927973607801265,0.06306609876417571,VOTOS_NULOS_CAND_NO_REGIS,0.92,0.013212800292761832,0.01729723287315016,0.02133942922765139,0.923,0.93,0.925,0.92,0.926
38,400,2000,0.0026214047036356354,0.01031321897423318,0.027953213348588236,JOAQUIN_DIAZ_MENA,0.919,0.0401279243446548,0.04248564106788555,0.045222197343147745,RENAN_BARRERA_CONCHA,0.918,0.039622146101687905,0.04184956929314004,0.044399523444742225,0.919,0.918,0.921,0.928,0.927
39,400,5000,0.0018100801340547145,0.007391048715191029,0.021076830496832993,JOAQUIN_DIAZ_MENA,0.879,0.025486239381012743,0.02699148102427623,0.028713074715863023,RENAN_BARRERA_CONCHA,0.873,0.025057299037200737,0.026685628022026814,0.02815628524450609,0.879,0.873,0.875,0.946,0.908
40,400,10000,0.0014182673774609286,0.006072002081938588,0.01764767879724736,JOAQUIN_DIAZ_MENA,0.813,0.01804181083400385,0.019205724976562283,0.02034892113533982,RENAN_BARRERA_CONCHA,0.805,0.017748120508089816,0.018875003278439884,0.020043537812493826,0.813,0.805,0.85,0.922,0.874
41,400,20000,0.0011518809393184033,0.005400113304884352,0.015186830350719783,JOAQUIN_DIAZ_MENA,0.731,0.012833674821381705,0.013643462895158609,0.014518443060797975,RENAN_BARRERA_CONCHA,0.716,0.01269562936550628,0.013445836047183995,0.01424837044880278,0.731,0.716,0.773,0.891,0.807
