,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100.0,500.0,0.005147213727863495,0.020783869093243673,0.05765754093172254,JOAQUIN_DIAZ_MENA,0.908,0.07704981733630398,0.08187492743526428,0.08743265789083335,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.876,0.0,0.010908676955477935,0.019363101405104475,0.908,0.893,0.9,0.92,0.876
1,100.0,1000.0,0.0044776378352649115,0.01609846812992291,0.043581445352431,JOAQUIN_DIAZ_MENA,0.895,0.055586937837959385,0.05907857708023481,0.06291932326347213,RENAN_BARRERA_CONCHA,0.878,0.05468327728272348,0.058309501423500026,0.06203810206292564,0.895,0.878,0.914,0.933,0.92
2,100.0,1500.0,0.002915984727329439,0.013673376239982077,0.03939734242332309,JOAQUIN_DIAZ_MENA,0.864,0.04582938214982228,0.04858717541093474,0.051760433610638104,RENAN_BARRERA_CONCHA,0.861,0.04501439554853039,0.04795146556900559,0.05112992633820851,0.864,0.861,0.889,0.921,0.898
3,100.0,2000.0,0.0029298770616470516,0.01309974440229228,0.035323757134175175,JOAQUIN_DIAZ_MENA,0.856,0.039552571765920745,0.042214131879429406,0.04470317377278791,RENAN_BARRERA_CONCHA,0.821,0.039018533730364235,0.04165554687625714,0.04434608960227899,0.856,0.821,0.879,0.917,0.873
4,100.0,2500.0,0.002666498573984874,0.011640027335750806,0.03469180714780705,JOAQUIN_DIAZ_MENA,0.808,0.035549245817476226,0.03782985044085346,0.04028927780909202,RENAN_BARRERA_CONCHA,0.799,0.0350295954051373,0.03728876569281919,0.03967119149435437,0.808,0.799,0.847,0.912,0.841
5,100.0,3000.0,0.002880273681572388,0.011428023005198767,0.033334265682194796,JOAQUIN_DIAZ_MENA,0.788,0.03265967868782238,0.0346876251863488,0.03678169638554266,RENAN_BARRERA_CONCHA,0.772,0.03211115077907979,0.034227813254460865,0.03632231630167776,0.788,0.772,0.833,0.91,0.852
6,150.0,500.0,0.0052479086286380755,0.020404352415860777,0.05621288866924377,JOAQUIN_DIAZ_MENA,0.916,0.07671080993588018,0.08189237082533332,0.08804518099929942,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.894,0.0,0.010530088699352728,0.018272817139463392,0.916,0.909,0.931,0.927,0.894
7,150.0,1000.0,0.0034166770644433278,0.0150089368486728,0.04244359711533687,JOAQUIN_DIAZ_MENA,0.905,0.055799213796292976,0.059187472523107104,0.06282195141151603,RENAN_BARRERA_CONCHA,0.903,0.054944180794192506,0.058430362771627775,0.06194403998607374,0.905,0.903,0.906,0.942,0.912
8,150.0,1500.0,0.0030110359209108966,0.012713058823707879,0.03494794313329001,JOAQUIN_DIAZ_MENA,0.916,0.04579123111599523,0.04876045774925822,0.051721469347222736,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.893,0.0036484671508204853,0.006921469525057885,0.009707299828907489,0.916,0.896,0.899,0.931,0.893
9,150.0,2000.0,0.002782142440992278,0.011414226120967846,0.032059906154344175,JOAQUIN_DIAZ_MENA,0.903,0.03988876948381744,0.042383109266677405,0.04507462420212951,RENAN_BARRERA_CONCHA,0.868,0.039301806160276266,0.0418047868781416,0.04445554093543535,0.903,0.868,0.887,0.92,0.897
10,150.0,2500.0,0.0026111727885166623,0.011166355775794057,0.031478056362953165,JOAQUIN_DIAZ_MENA,0.863,0.03564922369016318,0.03798046251071091,0.04015246873055086,RENAN_BARRERA_CONCHA,0.84,0.035060721035068604,0.03743241238314102,0.03972535416520493,0.863,0.84,0.875,0.923,0.884
11,150.0,3000.0,0.0025899662079476313,0.010265556047281105,0.029535985474782745,JOAQUIN_DIAZ_MENA,0.854,0.03264395374174873,0.03467464313772972,0.03664357068965,RENAN_BARRERA_CONCHA,0.849,0.032276995536742945,0.03420241134155769,0.03618801054216452,0.854,0.849,0.874,0.923,0.882
12,200.0,500.0,0.005289368971607252,0.019704088222920215,0.05356189099663956,JOAQUIN_DIAZ_MENA,0.932,0.077025965830155,0.08214461981190763,0.08755067028190533,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.907,0.0,0.010550875355932042,0.018397988437339644,0.932,0.932,0.919,0.929,0.907
13,200.0,1000.0,0.0036988275117449984,0.015099893486938826,0.03972446178934294,JOAQUIN_DIAZ_MENA,0.915,0.05588321577492963,0.05915994997002,0.06278476529813515,VIDA_ARAVARI_GOMEZ_HERRERA,0.911,0.018958246835682056,0.022909225368078684,0.027026579480252253,0.915,0.916,0.911,0.934,0.921
14,200.0,1500.0,0.0031187194706464097,0.012035909807367465,0.03473391789340199,JOAQUIN_DIAZ_MENA,0.916,0.04598775978613675,0.04876868686092917,0.05154918021178953,VIDA_ARAVARI_GOMEZ_HERRERA,0.906,0.015991367527189545,0.018697024809327167,0.02152049241376569,0.916,0.91,0.906,0.93,0.907
15,200.0,2000.0,0.002952504861944087,0.011984077202008302,0.03309545420748337,JOAQUIN_DIAZ_MENA,0.878,0.03988825206455357,0.042366931815586595,0.044974921874848584,RENAN_BARRERA_CONCHA,0.863,0.0392109359708189,0.041811083722964215,0.044400261548197116,0.878,0.863,0.899,0.917,0.912
16,200.0,2500.0,0.0027559959321303176,0.010582228486957085,0.026725347847811512,JOAQUIN_DIAZ_MENA,0.891,0.03582271698753405,0.037957666684508506,0.04031838045073047,VIDA_ARAVARI_GOMEZ_HERRERA,0.873,0.012867863351717766,0.014637338813052894,0.016745501441268722,0.891,0.878,0.873,0.936,0.892
17,200.0,3000.0,0.0023183569480175414,0.009557762120615078,0.027415074000546734,JOAQUIN_DIAZ_MENA,0.861,0.032719170873009115,0.03466466956589531,0.036857877317323214,RENAN_BARRERA_CONCHA,0.854,0.032382171676908274,0.034188260288465416,0.03640102305183944,0.861,0.854,0.892,0.93,0.894
18,250.0,500.0,0.005186606727703562,0.019094808361451443,0.05666355751802379,JOAQUIN_DIAZ_MENA,0.918,0.07694867402311763,0.08199438958114358,0.08697248175114301,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.914,0.0,0.011809223193919336,0.01839160938633571,0.918,0.926,0.915,0.935,0.914
19,250.0,1000.0,0.0035226610080321087,0.01438845220187307,0.04163106890880186,JOAQUIN_DIAZ_MENA,0.917,0.05589978588917691,0.05925543034547556,0.06288957337024162,RENAN_BARRERA_CONCHA,0.91,0.05490680961933012,0.05843352555219772,0.0620480791768585,0.917,0.91,0.931,0.93,0.929
20,250.0,1500.0,0.0033549028869768053,0.012551524311299828,0.03207191203622874,JOAQUIN_DIAZ_MENA,0.924,0.04610469618989495,0.04875048736957743,0.05168686146181977,VIDA_ARAVARI_GOMEZ_HERRERA,0.906,0.01602732959560857,0.01880857437969747,0.021441227314830436,0.924,0.907,0.906,0.938,0.925
21,250.0,2000.0,0.0026660721587317675,0.011470345191319706,0.029806194393615596,JOAQUIN_DIAZ_MENA,0.9,0.04000716252344499,0.042350307230032525,0.04494215524064553,RENAN_BARRERA_CONCHA,0.899,0.03948622982580732,0.04175230204047767,0.044343701872408534,0.9,0.899,0.906,0.929,0.904
22,250.0,2500.0,0.002634177181146116,0.009736663477969316,0.028301074917615434,JOAQUIN_DIAZ_MENA,0.885,0.035782021229304115,0.03802499604563961,0.04031092992876081,JOAQUIN_DIAZ_MENA,0.885,0.035782021229304115,0.03802499604563961,0.04031092992876081,0.885,0.885,0.897,0.94,0.901
23,250.0,3000.0,0.00248786994210799,0.009142911143987992,0.025716348700409487,JOAQUIN_DIAZ_MENA,0.901,0.03268218021278571,0.034696627572177174,0.037097574228723194,RENAN_BARRERA_CONCHA,0.899,0.032251868867404665,0.03425172454165637,0.03624127479107889,0.901,0.899,0.908,0.935,0.904
24,300.0,500.0,0.004828847885280013,0.019590351398749112,0.05125176021379816,JOAQUIN_DIAZ_MENA,0.939,0.07710389998429237,0.08223316959165541,0.0873574403154006,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.907,0.0,0.010744588809309803,0.01852170309492628,0.939,0.943,0.924,0.944,0.907
25,300.0,1000.0,0.003771766420210057,0.013954002268396437,0.0380330049575947,JOAQUIN_DIAZ_MENA,0.94,0.055970186799407504,0.05925017366551352,0.06306439698770165,VIDA_ARAVARI_GOMEZ_HERRERA,0.927,0.019016318853170185,0.022760904029814986,0.026533429194527898,0.94,0.942,0.927,0.931,0.931
26,300.0,1500.0,0.0034394346229232944,0.012062774835912532,0.03406542515623165,JOAQUIN_DIAZ_MENA,0.917,0.045944148619956174,0.048824217444903756,0.05171920081785065,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.908,0.003818917078945489,0.00693579290129155,0.009589560585470487,0.917,0.912,0.929,0.937,0.908
27,300.0,2000.0,0.002834168694540723,0.010556371933875191,0.030956473942629997,JOAQUIN_DIAZ_MENA,0.9,0.040076902791590166,0.04230860375508652,0.0450651569089386,RENAN_BARRERA_CONCHA,0.885,0.039402598747395844,0.04182706868644401,0.04441793456482105,0.9,0.885,0.921,0.935,0.927
28,300.0,2500.0,0.0025012533011561392,0.010391806953874937,0.02703978051901508,JOAQUIN_DIAZ_MENA,0.893,0.035812131893354075,0.03804242407773489,0.04045015740135869,RENAN_BARRERA_CONCHA,0.889,0.035176572136573596,0.037506982612362294,0.039701858122136474,0.893,0.889,0.922,0.937,0.904
29,300.0,3000.0,0.002133377723542067,0.008910008850298856,0.023913065429006047,JOAQUIN_DIAZ_MENA,0.911,0.03274227431156726,0.034767484090230755,0.03682144515938227,RENAN_BARRERA_CONCHA,0.89,0.0323781424405615,0.03427529993041076,0.03622308761687865,0.911,0.89,0.899,0.932,0.909
30,350.0,500.0,0.005248909018700159,0.019190998568022616,0.05149118701131636,JOAQUIN_DIAZ_MENA,0.938,0.0772079361569546,0.08216052467028967,0.08729143974420164,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.904,0.0,0.010670188654154368,0.018208035917888866,0.938,0.942,0.93,0.925,0.904
31,350.0,1000.0,0.0036860523716052483,0.014193484629424324,0.03773648356790655,JOAQUIN_DIAZ_MENA,0.933,0.055635187357968886,0.05919140594324515,0.06287132487951418,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.914,0.003583860563828839,0.008381883360456392,0.012223133994405944,0.933,0.928,0.923,0.937,0.914
32,350.0,1500.0,0.0026324976939597912,0.011449448148639668,0.03268732102484113,JOAQUIN_DIAZ_MENA,0.947,0.04576914998001469,0.04882020978389062,0.05184994111775573,VIDA_ARAVARI_GOMEZ_HERRERA,0.927,0.01594524004645291,0.018694573662899314,0.02148578815266781,0.947,0.935,0.927,0.941,0.943
33,350.0,2000.0,0.0027842674097814483,0.010466579630515532,0.027004176058526293,JOAQUIN_DIAZ_MENA,0.936,0.03997275265422598,0.04242132484867164,0.045239573298037634,VIDA_ARAVARI_GOMEZ_HERRERA,0.925,0.014247760654646313,0.016338017537117,0.01852378772299653,0.936,0.933,0.925,0.931,0.927
34,350.0,2500.0,0.002356333098354782,0.009815435937580953,0.026179454170063503,JOAQUIN_DIAZ_MENA,0.91,0.03576744205310811,0.038054302053869615,0.04028675884833765,RENAN_BARRERA_CONCHA,0.899,0.03521748199062338,0.03758898404288208,0.03977084584048215,0.91,0.899,0.92,0.928,0.937
35,350.0,3000.0,0.0022899626445881207,0.008654862284346476,0.02350301903519704,JOAQUIN_DIAZ_MENA,0.916,0.03282638611315244,0.03472374547038187,0.03685319952882773,RENAN_BARRERA_CONCHA,0.91,0.03227210006485228,0.03425434453799758,0.03619395807789269,0.916,0.91,0.913,0.938,0.924
