,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100,500,0.005004357268397728,0.020606785122331182,0.05983555617866034,JOAQUIN_DIAZ_MENA,0.888,0.07714217568853975,0.08191900125287632,0.08724473669720709,JOAQUIN_DIAZ_MENA,0.888,0.07714217568853975,0.08191900125287632,0.08724473669720709,0.888,0.893,0.912,0.928,0.898
1,100,1000,0.003656825410524965,0.01657408049344708,0.04040828976611544,JOAQUIN_DIAZ_MENA,0.888,0.05574039909461367,0.059105883160707334,0.0628696742141944,JOAQUIN_DIAZ_MENA,0.888,0.05574039909461367,0.059105883160707334,0.0628696742141944,0.888,0.894,0.891,0.94,0.901
2,100,1500,0.0034808534874147964,0.014418784159590636,0.04051484273487169,JOAQUIN_DIAZ_MENA,0.851,0.045830343828592815,0.04867504032693748,0.05171014344103718,RENAN_BARRERA_CONCHA,0.845,0.044954006408413696,0.04798143153187359,0.0508423114469687,0.851,0.845,0.907,0.93,0.873
3,100,2000,0.0031394133618340052,0.012653035773990073,0.036168631873843574,JOAQUIN_DIAZ_MENA,0.85,0.03984690682797769,0.04224619440363145,0.044712112204907124,RENAN_BARRERA_CONCHA,0.841,0.0393214226964414,0.0416359719462199,0.044136289034450535,0.85,0.841,0.853,0.917,0.858
4,100,3000,0.002618509654744569,0.011353956104032892,0.032056965794595146,JOAQUIN_DIAZ_MENA,0.808,0.03263879167070645,0.03465435594598473,0.036808573694392235,RENAN_BARRERA_CONCHA,0.797,0.031910501772365076,0.034154829825234434,0.03630489234142249,0.808,0.797,0.827,0.909,0.834
5,100,4000,0.002627389106440899,0.010539289511164573,0.02951182970092451,JOAQUIN_DIAZ_MENA,0.758,0.028386304042122078,0.03006860731509331,0.0318904839952627,RENAN_BARRERA_CONCHA,0.732,0.02798144810083214,0.02963275689326461,0.03149064851491749,0.758,0.732,0.801,0.89,0.801
6,150,500,0.005246464005238568,0.021224087486609554,0.059444590747015524,JOAQUIN_DIAZ_MENA,0.902,0.07669471759297682,0.08177110595787956,0.08733323628193908,RENAN_BARRERA_CONCHA,0.901,0.07565972037818167,0.0808368658067333,0.08626700135963068,0.902,0.901,0.926,0.932,0.905
7,150,1000,0.0036764895974713712,0.014888085498166087,0.04132508878710713,JOAQUIN_DIAZ_MENA,0.907,0.055508588916493684,0.059141592299174595,0.06260046120620862,RENAN_BARRERA_CONCHA,0.895,0.054925529156492736,0.058410331233835905,0.06205631022647627,0.907,0.895,0.902,0.926,0.921
8,150,1500,0.0028481148932278343,0.012843877588953806,0.0370912374615146,JOAQUIN_DIAZ_MENA,0.89,0.04582455632732683,0.04868165751684325,0.05164903240084218,RENAN_BARRERA_CONCHA,0.877,0.04514101197325122,0.048105976194237204,0.0512570559315146,0.89,0.877,0.897,0.946,0.899
9,150,2000,0.0029099057698182855,0.011596347872799895,0.030867556399425233,JOAQUIN_DIAZ_MENA,0.889,0.039796076942315614,0.042359910584842286,0.04505001797357741,RENAN_BARRERA_CONCHA,0.877,0.0393507234007358,0.04180401343967413,0.04438741966080472,0.889,0.877,0.894,0.93,0.882
10,150,3000,0.0024315063516763638,0.010244643630144129,0.029061454924197417,JOAQUIN_DIAZ_MENA,0.845,0.032694387097160986,0.03464405513973595,0.036920994488407015,JOAQUIN_DIAZ_MENA,0.845,0.032694387097160986,0.03464405513973595,0.036920994488407015,0.845,0.855,0.863,0.928,0.885
11,150,4000,0.002513113260240698,0.00987989766451386,0.028255244194753094,JOAQUIN_DIAZ_MENA,0.81,0.028333977749002957,0.030191961845466048,0.03179104633242794,RENAN_BARRERA_CONCHA,0.802,0.027973175456285998,0.0297149957217481,0.03155545034502046,0.81,0.802,0.858,0.906,0.86
12,200,500,0.005292605394843842,0.0203195019224571,0.05453681693045139,JOAQUIN_DIAZ_MENA,0.922,0.07699691241270572,0.08200381534555853,0.08773843709416715,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.892,0.0,0.010611957268325294,0.019139160024462774,0.922,0.914,0.908,0.933,0.892
13,200,1000,0.0033998992947774096,0.015491748364900332,0.04079756351463799,JOAQUIN_DIAZ_MENA,0.912,0.05591584950114552,0.05915068688134861,0.06310480095689999,VIDA_ARAVARI_GOMEZ_HERRERA,0.897,0.018429032231680072,0.02260629125684005,0.02664930672291757,0.912,0.915,0.897,0.936,0.927
14,200,1500,0.0028718930547081732,0.013107382280805269,0.03416435822446804,JOAQUIN_DIAZ_MENA,0.899,0.04583023289467922,0.048819821704208205,0.051671992361744405,RENAN_BARRERA_CONCHA,0.892,0.045174376463466344,0.04806170717082939,0.05092145178934816,0.899,0.892,0.9,0.944,0.895
15,200,2000,0.002842872274168157,0.011520083677249132,0.031812983185199976,JOAQUIN_DIAZ_MENA,0.883,0.03982357850520108,0.0423914315670377,0.045042616110322405,RENAN_BARRERA_CONCHA,0.873,0.039304026405271295,0.041778186833616754,0.044366113676016394,0.883,0.873,0.915,0.943,0.897
16,200,3000,0.002283450489191911,0.00995877597849723,0.027556169266413376,JOAQUIN_DIAZ_MENA,0.868,0.03261011545575831,0.03473185443963517,0.03674328603584268,RENAN_BARRERA_CONCHA,0.856,0.032256692061910563,0.03420104873644397,0.03643676518159926,0.868,0.856,0.901,0.933,0.869
17,200,4000,0.0019978063211457554,0.009062577751399903,0.02462323341900666,JOAQUIN_DIAZ_MENA,0.85,0.028404914515939565,0.03018490584629152,0.032055420479053395,RENAN_BARRERA_CONCHA,0.846,0.027925609251179435,0.029733405576414323,0.031598563656777504,0.85,0.846,0.887,0.917,0.903
18,250,500,0.0048340410449819555,0.019573589604053587,0.057561574894253405,JOAQUIN_DIAZ_MENA,0.924,0.0770742087918853,0.08194631877797665,0.08718289700701273,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.903,0.0,0.010792997106335708,0.018491326665884947,0.924,0.918,0.925,0.935,0.903
19,250,1000,0.003662741535811132,0.014789566560648088,0.03804159799653421,JOAQUIN_DIAZ_MENA,0.936,0.0557474745336313,0.05927648103626082,0.0631688812771391,VIDA_ARAVARI_GOMEZ_HERRERA,0.924,0.01865769340030641,0.02236398427206599,0.02638335032341955,0.936,0.931,0.924,0.935,0.935
20,250,1500,0.0028454273125278337,0.011847761559958276,0.03339311769893895,JOAQUIN_DIAZ_MENA,0.903,0.045942987932251995,0.048763333537205966,0.0516224839045579,JOAQUIN_DIAZ_MENA,0.903,0.045942987932251995,0.048763333537205966,0.0516224839045579,0.903,0.904,0.919,0.937,0.904
21,250,2000,0.0032215888934644357,0.010355236212653357,0.02958832506238186,JOAQUIN_DIAZ_MENA,0.913,0.03984482796286819,0.04228348394256451,0.04495631070907365,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.909,0.003944149575019768,0.006155399213083732,0.008235330981460011,0.913,0.914,0.918,0.941,0.909
22,250,3000,0.002240540457997047,0.009616462356442923,0.02580465513196458,JOAQUIN_DIAZ_MENA,0.902,0.032903506580793586,0.03473899460979665,0.0369114387637167,RENAN_BARRERA_CONCHA,0.87,0.032330157081360764,0.034278844642009115,0.03636479710231545,0.902,0.87,0.904,0.915,0.915
23,250,4000,0.0020196967314780184,0.008963178963417445,0.024294454051448307,JOAQUIN_DIAZ_MENA,0.861,0.028530904164631776,0.030182473788137598,0.03214593484902456,RENAN_BARRERA_CONCHA,0.857,0.02797497193997494,0.02978032959129953,0.031405213079239325,0.861,0.857,0.89,0.932,0.872
24,300,500,0.0052490057085091005,0.019294628102260587,0.054624786064404456,JOAQUIN_DIAZ_MENA,0.935,0.07699166998332663,0.08226212452201431,0.08727280199426612,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.906,0.0,0.010831163883899923,0.018318282264076283,0.935,0.933,0.927,0.934,0.906
25,300,1000,0.003548476474987354,0.013284094576702682,0.03887970100177023,JOAQUIN_DIAZ_MENA,0.925,0.05562877371642986,0.05930816471526468,0.06290004955554884,JOAQUIN_DIAZ_MENA,0.925,0.05562877371642986,0.05930816471526468,0.06290004955554884,0.925,0.93,0.934,0.948,0.925
26,300,1500,0.003224628873908357,0.01188198495333976,0.03122231889365634,JOAQUIN_DIAZ_MENA,0.936,0.045904359448554144,0.048810434799590297,0.05166481339418101,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.92,0.004015137317053477,0.00707442597896365,0.009682977028750725,0.936,0.925,0.93,0.924,0.92
27,300,2000,0.002808208742989644,0.010235668552461052,0.029006868048104623,JOAQUIN_DIAZ_MENA,0.925,0.040107474549691796,0.042443883144978906,0.045058092540569576,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.912,0.003933802873456362,0.00606429948861046,0.008128120753141573,0.925,0.918,0.935,0.942,0.912
28,300,3000,0.0022626052064828642,0.008566205983785158,0.02488006297676554,JOAQUIN_DIAZ_MENA,0.908,0.032780478074152505,0.03476852699647126,0.036963905965670674,RENAN_BARRERA_CONCHA,0.9,0.03225456072433865,0.03427518455331771,0.036306609322055435,0.908,0.9,0.917,0.95,0.908
29,300,4000,0.0019937820003990384,0.008150482341118648,0.022527840518054624,JOAQUIN_DIAZ_MENA,0.878,0.028388593346028796,0.030175876883424907,0.03188185101011712,RENAN_BARRERA_CONCHA,0.875,0.027864322073091457,0.029754825363893206,0.03154226015630599,0.878,0.875,0.903,0.928,0.901
30,350,500,0.004695641906076003,0.01959487052068079,0.05341327006424407,JOAQUIN_DIAZ_MENA,0.927,0.07718711033904878,0.08206793886128272,0.08729040601620901,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.897,0.0,0.011215462329150626,0.018302530348125807,0.927,0.932,0.927,0.916,0.897
31,350,1000,0.0036098458115782395,0.013890662160126188,0.03887392516813417,JOAQUIN_DIAZ_MENA,0.927,0.055977313036124396,0.05931594845405555,0.06301327688859534,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.91,0.0035547329943088524,0.008426635706021273,0.012504885561726237,0.927,0.935,0.935,0.926,0.91
32,350,1500,0.003071272318295548,0.011539127086649281,0.03196172226235184,JOAQUIN_DIAZ_MENA,0.918,0.04588481236170168,0.04880719591564206,0.05163080293711945,JOAQUIN_DIAZ_MENA,0.918,0.04588481236170168,0.04880719591564206,0.05163080293711945,0.918,0.918,0.933,0.935,0.937
33,350,2000,0.0024806860168575433,0.010268792939892135,0.03139824529841171,JOAQUIN_DIAZ_MENA,0.932,0.03989195583698941,0.0422965737141858,0.04485698850659708,RENAN_BARRERA_CONCHA,0.916,0.039294645239749404,0.04181303414080678,0.044327588261500885,0.932,0.916,0.924,0.943,0.922
