,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100,500,0.005587495804981164,0.02225247085640747,0.06064899612868402,JOAQUIN_DIAZ_MENA,0.911,0.08178560248689806,0.0869754789297181,0.09184780827138926,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.893,0.0,0.011103889203885754,0.019673696692478173,0.911,0.896,0.922,0.92,0.893
1,100,1000,0.0037550645068916686,0.0170293023671812,0.048249211869629216,JOAQUIN_DIAZ_MENA,0.865,0.05796363174249435,0.06163799009934301,0.06510918898061628,RENAN_BARRERA_CONCHA,0.855,0.057407492120747666,0.06076528238534776,0.06471897572591281,0.865,0.855,0.902,0.931,0.907
2,100,1500,0.003796435505006519,0.015921527077468495,0.04456837299695451,JOAQUIN_DIAZ_MENA,0.826,0.04766123645798385,0.05033724266784387,0.05341835547838819,RENAN_BARRERA_CONCHA,0.816,0.046605256123908416,0.049778279356728045,0.05270358667013478,0.826,0.816,0.871,0.92,0.88
3,100,2000,0.003335348672813934,0.014727735214452461,0.04198334464313358,JOAQUIN_DIAZ_MENA,0.773,0.04098125000512848,0.043613077220365504,0.046307494336210515,RENAN_BARRERA_CONCHA,0.77,0.040490617309985134,0.04310178738613954,0.04562586208169801,0.773,0.77,0.849,0.923,0.873
4,100,3000,0.0031238220712608,0.013307439359912243,0.0403789054300995,JOAQUIN_DIAZ_MENA,0.729,0.03344007162919384,0.03557115245912265,0.03770844940580462,RENAN_BARRERA_CONCHA,0.713,0.03312799805449543,0.03519280064855623,0.03736433470062937,0.729,0.713,0.82,0.913,0.861
5,100,4000,0.002492413086164254,0.012678720151767464,0.03648882280564626,JOAQUIN_DIAZ_MENA,0.685,0.029117291420333223,0.030876381689774468,0.03278209200406671,RENAN_BARRERA_CONCHA,0.67,0.028787262340332798,0.03055742684664975,0.03232978937923551,0.685,0.67,0.781,0.907,0.847
6,150,500,0.005531073486079968,0.020704145048809852,0.06095816469832415,JOAQUIN_DIAZ_MENA,0.914,0.08179746854658251,0.08693385694838868,0.09221977113859187,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.9,0.0,0.01221532328935503,0.02001324969824576,0.914,0.914,0.94,0.943,0.9
7,150,1000,0.004093537002741426,0.01665254938225516,0.045272445181655636,JOAQUIN_DIAZ_MENA,0.888,0.058034798355962494,0.061567167087741376,0.06542424727600654,RENAN_BARRERA_CONCHA,0.883,0.05733021759947226,0.060956304509615505,0.06462755711586131,0.888,0.883,0.921,0.944,0.932
8,150,1500,0.003508640284334139,0.014464309715132295,0.041251469549284554,JOAQUIN_DIAZ_MENA,0.849,0.04726297214999179,0.0503222370102083,0.05332471012310589,JOAQUIN_DIAZ_MENA,0.849,0.04726297214999179,0.0503222370102083,0.05332471012310589,0.849,0.856,0.912,0.919,0.912
9,150,2000,0.0029426837418672553,0.013055517856219917,0.03717112177086038,JOAQUIN_DIAZ_MENA,0.852,0.04107928474604638,0.04351504299228612,0.046169452029897196,RENAN_BARRERA_CONCHA,0.829,0.04058640171509642,0.04299070654390266,0.04550861538089141,0.852,0.829,0.886,0.929,0.895
10,150,3000,0.002795009629057357,0.01181868611569492,0.03447202178210237,JOAQUIN_DIAZ_MENA,0.779,0.03355986149665184,0.03559019928497992,0.037711490025904446,RENAN_BARRERA_CONCHA,0.777,0.03327378627512604,0.035153947995703594,0.037214202736999116,0.779,0.777,0.861,0.934,0.873
11,150,4000,0.002510535756338494,0.011318227022573901,0.032036299967917556,JOAQUIN_DIAZ_MENA,0.748,0.02916140015606705,0.030836000777873518,0.03272346326885783,RENAN_BARRERA_CONCHA,0.724,0.028746813733735874,0.030513712483804523,0.03232642772216784,0.748,0.724,0.827,0.913,0.857
12,200,500,0.00478564343193234,0.02111551381915419,0.057919900168785,JOAQUIN_DIAZ_MENA,0.929,0.08193362565817706,0.0868638852488744,0.09191241260204466,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.905,0.0,0.011783072141211957,0.01928026383700101,0.929,0.922,0.934,0.935,0.905
13,200,1000,0.0038517610672621945,0.0159731908489901,0.04205964914044196,JOAQUIN_DIAZ_MENA,0.91,0.058090149026796364,0.06171138756075081,0.06536604214548702,JOAQUIN_DIAZ_MENA,0.91,0.058090149026796364,0.06171138756075081,0.06536604214548702,0.91,0.911,0.926,0.94,0.934
14,200,1500,0.003370075785237993,0.013108049350664286,0.03418856275544441,JOAQUIN_DIAZ_MENA,0.91,0.04739643019199859,0.05024445990709819,0.05331953455588585,YAMIL_JASMIN_LOPEZ_MANRIQUE,0.896,0.003667765303719433,0.0071779660738799395,0.010200383480196636,0.91,0.909,0.911,0.938,0.896
15,200,2000,0.002561143305979186,0.011949277389889684,0.03656486464753163,JOAQUIN_DIAZ_MENA,0.846,0.040990698543620474,0.04354984422014477,0.04625945674390978,JOAQUIN_DIAZ_MENA,0.846,0.040990698543620474,0.04354984422014477,0.04625945674390978,0.846,0.848,0.888,0.935,0.916
16,200,3000,0.0024427712116201488,0.011123087829970763,0.03147374582241687,JOAQUIN_DIAZ_MENA,0.814,0.03348880360496807,0.03556013668584823,0.03785551818443639,RENAN_BARRERA_CONCHA,0.801,0.03315927095273928,0.03512359820695213,0.037095078021214346,0.814,0.801,0.892,0.929,0.895
17,200,4000,0.002247724227398381,0.00986602891425084,0.029282156703785877,JOAQUIN_DIAZ_MENA,0.794,0.029178982314863218,0.03092124481109898,0.032835991341643306,RENAN_BARRERA_CONCHA,0.787,0.028796852422280354,0.030583714953635266,0.03227128269961522,0.794,0.787,0.851,0.92,0.896
