,Tamaño_muestra_casillas,Tamaño_submuestra_votos,Error_maximo_q_025,Error_maximo_mediana,Error_maximo_q_975,Intervalo_M_grande_candidato_nom,Intervalo_M_grande_candidato_cob,Intervalo_M_grande_inter_q_025,Intervalo_M_grande_inter_mediana,Intervalo_M_grande_inter_q_975,Cobertura_m_candidato_nom,Cobertura_m_candidato,Cobertura_m_inter_q_025,Cobertura_m_inter_mediana,Cobertura_m_inter_q_975,Cob_JOAQUIN_DIAZ_MENA,Cob_RENAN_BARRERA_CONCHA,Cob_VIDA_ARAVARI_GOMEZ_HERRERA,Cob_VOTOS_NULOS_CAND_NO_REGIS,Cob_YAMIL_JASMIN_LOPEZ_MANRIQUE
0,100,500,0.001885334677251302,0.008804329260265226,0.02508296688071767,JOAQUIN_DIAZ_MENA,1.0,0.11132783495468591,0.11769738491066922,0.1251951353387273,JOAQUIN_DIAZ_MENA,1.0,0.11132783495468591,0.11769738491066922,0.1251951353387273,1.0,1.0,1.0,1.0,1.0
1,100,1000,0.0015923472191270785,0.008835304526711468,0.025495725731423412,JOAQUIN_DIAZ_MENA,1.0,0.07948978092772778,0.0840598769409659,0.089323246647025,JOAQUIN_DIAZ_MENA,1.0,0.07948978092772778,0.0840598769409659,0.089323246647025,1.0,1.0,1.0,1.0,1.0
2,100,2000,0.002100923365702548,0.00874573453446209,0.025342790917181727,JOAQUIN_DIAZ_MENA,0.994,0.056022987436677475,0.05930488938001002,0.06288684854943374,RENAN_BARRERA_CONCHA,0.993,0.05520503101861683,0.05849791538402385,0.06243658419460499,0.994,0.993,0.997,0.999,0.998
3,100,5000,0.0017317859795633055,0.009302702957150522,0.025421284302850174,JOAQUIN_DIAZ_MENA,0.908,0.03504463553957527,0.03689147436535184,0.039331115974213224,RENAN_BARRERA_CONCHA,0.887,0.03428368546274628,0.036454684689594896,0.0387525806259647,0.908,0.887,0.953,0.988,0.982
4,100,10000,0.0017826956369476385,0.008754946159817312,0.026461713102532845,JOAQUIN_DIAZ_MENA,0.771,0.023930714475694108,0.025442193015938475,0.026955321432765637,RENAN_BARRERA_CONCHA,0.746,0.023588097390669097,0.025029520751493506,0.02664738632287631,0.771,0.746,0.836,0.971,0.888
5,100,20000,0.0017531940560000054,0.008954187927444734,0.025043061624919507,JOAQUIN_DIAZ_MENA,0.552,0.015878541174906842,0.016762195370837618,0.017856837589255076,RENAN_BARRERA_CONCHA,0.535,0.015602921493685838,0.01652822355109801,0.017549692682110624,0.552,0.535,0.665,0.916,0.689
6,150,500,0.0017052026693902766,0.007294677421092827,0.021078669222726547,JOAQUIN_DIAZ_MENA,1.0,0.1113263507004519,0.11818848202309765,0.12525478563195291,JOAQUIN_DIAZ_MENA,1.0,0.1113263507004519,0.11818848202309765,0.12525478563195291,1.0,1.0,1.0,1.0,1.0
7,150,1000,0.0016127830617806553,0.007024394864491856,0.020697509150564238,JOAQUIN_DIAZ_MENA,1.0,0.07927548316838849,0.08422622786022455,0.0886650982208302,JOAQUIN_DIAZ_MENA,1.0,0.07927548316838849,0.08422622786022455,0.0886650982208302,1.0,1.0,1.0,1.0,1.0
8,150,2000,0.0014659056921162872,0.0072922357760668854,0.019275064819986643,JOAQUIN_DIAZ_MENA,1.0,0.05624395673310956,0.05958348383816872,0.06354426740662762,JOAQUIN_DIAZ_MENA,1.0,0.05624395673310956,0.05958348383816872,0.06354426740662762,1.0,1.0,1.0,1.0,1.0
9,150,5000,0.0016025606494579404,0.007180339453525225,0.019990928444357497,JOAQUIN_DIAZ_MENA,0.976,0.03535105098972657,0.03739618017383983,0.03974965609309893,RENAN_BARRERA_CONCHA,0.969,0.03484982447916689,0.036938549370273105,0.03924771855990126,0.976,0.969,0.982,1.0,0.997
10,150,10000,0.0017190598034785426,0.006986166265111393,0.02067355938210375,JOAQUIN_DIAZ_MENA,0.87,0.02441923681014608,0.02587293588126205,0.0275517537347078,RENAN_BARRERA_CONCHA,0.85,0.02409877585931356,0.025610350302507467,0.027169322107544393,0.87,0.85,0.915,0.98,0.962
11,150,20000,0.001599886277987176,0.007036746728321747,0.020056871378732768,JOAQUIN_DIAZ_MENA,0.728,0.016573600165785744,0.017623393624808192,0.018690660281097882,RENAN_BARRERA_CONCHA,0.684,0.016362096280347686,0.017399758249150382,0.01844088485922245,0.728,0.684,0.779,0.93,0.793
12,200,500,0.001300970290569059,0.006130810507138984,0.017521351895691897,JOAQUIN_DIAZ_MENA,1.0,0.11157037526193114,0.11829521690343531,0.12526132062111725,JOAQUIN_DIAZ_MENA,1.0,0.11157037526193114,0.11829521690343531,0.12526132062111725,1.0,1.0,1.0,1.0,1.0
13,200,1000,0.001280531988984534,0.006119590733142083,0.016981148709371903,JOAQUIN_DIAZ_MENA,1.0,0.07972496406892925,0.08443949896628,0.08942789885715274,JOAQUIN_DIAZ_MENA,1.0,0.07972496406892925,0.08443949896628,0.08942789885715274,1.0,1.0,1.0,1.0,1.0
14,200,2000,0.001315368334648992,0.0060721818850335285,0.016541682394337814,JOAQUIN_DIAZ_MENA,1.0,0.05664456607687683,0.059817271321852133,0.06330748204091026,JOAQUIN_DIAZ_MENA,1.0,0.05664456607687683,0.059817271321852133,0.06330748204091026,1.0,1.0,1.0,1.0,1.0
15,200,5000,0.0013636746468747238,0.006055822042019071,0.01714629910989906,JOAQUIN_DIAZ_MENA,0.992,0.035492499402884584,0.03769053842067069,0.039954198566883745,RENAN_BARRERA_CONCHA,0.983,0.03500543938226892,0.037191599190028735,0.039448105162429394,0.992,0.983,0.992,1.0,0.998
